Region,Division,Sum,Rank,Ref_SchoolID,School2_ID,School3_ID,RefSchool_Name,School2_Name,School3_Name,RefSchool_LAT,RefSchool_LONG,School2_LAT,School2_LONG,School3_LAT,School 3_LONG,RefSch ot_Sch2,RefSch ot_Sch3,Sum of D1_D2,School Type
CAR,Abra,2.41127864,1,134979,134976,218505,Bangued West CS Abra 134979,Sinapangan ES Abra 134976,Sta. Rosa PS Abra 218505,17.6028,120.608,17.601,120.612,17.585497,120.607086,0.471960149,1.939318491,2.41127864,CS
CAR,Abra,4.732883944,2,135024,134982,135018,Tayum Central School Abra 135024,Patucannay ES Abra 134982,Don Marcos Rosales ES Abra 135018,17.6175,120.657,17.6064,120.63,17.6069,120.647,3.137206735,1.595677209,4.732883944,CS
CARAGA,Agusan del Norte,0.760011825,1,131593,131586,131589,Tubay Central Elementary School Agusan del Norte 131593,La Fraternidad ES Agusan del Norte 131586,Sta. Ana ES Agusan del Norte 131589,9.167068,125.524769,9.166338,125.52797,9.166754,125.528347,0.363053366,0.396958459,0.760011825,CS
CARAGA,Agusan del Norte,0.909399283,2,131550,131508,131512,Cogon Central Elementary School Agusan del Norte 131550,Buenavista CES Agusan del Norte 131508,Matabao Elementary School Agusan del Norte 131512,8.968315,125.40879,8.975098,125.4078,8.967044,125.40879,0.767125972,0.142273311,0.909399283,CS
CARAGA,Agusan del Norte,1.536348221,3,131584,131537,131581,Dona Rosario Central Elem. School Agusan del Norte 131584,Dona Telesfora L. Ong Oh ES Agusan del Norte 131537,Beto ES Agusan del Norte 131581,9.15754,125.560843,9.157557,125.560827,9.157085,125.546972,0.002598022,1.533750199,1.536348221,CS
CARAGA,Agusan del Norte,3.941151134,4,131433,131436,131443,Jabonga Central Elementary School Agusan del Norte 131433,Magsaysay ES Agusan del Norte 131436,Sto. Nino ES Agusan del Norte 131443,9.341403,125.51545,9.348566,125.507779,9.331795,125.492294,1.16652848,2.774622654,3.941151134,CS
CARAGA,Agusan del Norte,5.850071395,5,131568,131549,211503,Simbalan Central ES Agusan del Norte 131568,Bagang ES Agusan del Norte 131549,Cabayugan ES Agusan del Norte 211503,8.872606,125.39357,8.873454,125.366447,8.87727,125.418892,3.001264001,2.848807393,5.850071394,CS
CARAGA,Agusan del Sur,0.236997892,1,132019,132000,132018,Trento West Central Elementary  SPED Center Agusan del Sur 132019,Gasa ES Agusan del Sur 132000,Trento CES Agusan del Sur 132018,8.046984614,126.0630535,8.047539573,126.0633305,8.04806,126.062,0.069293634,0.167704259,0.236997893,CS
CARAGA,Agusan del Sur,1.966442399,2,131730,212047,212067,Loreto Central Elem School Agusan del Sur 131730,SIKAT PANLABUAN PS Agusan del Sur 212047,MAXIMO MAGADAN MEMORIAL ES Agusan del Sur 212067,8.186419088,125.8647205,8.180106,125.860333,8.177217,125.861019,0.857735166,1.108707233,1.966442399,CS
CARAGA,Agusan del Sur,3.018110257,3,131977,131994,212060,Del Monte Central Elementary School Agusan del Sur 131977,Zamora Elementary School Agusan del Sur 131994,San Roque Elementary School Agusan del Sur 212060,8.453499736,125.8282885,8.466098814,125.8295886,8.454499,125.842708,1.417643819,1.600466438,3.018110257,CS
CARAGA,Agusan del Sur,3.504960777,4,131775,131790,212019,East Prosperidad Central Elementary School Agusan del Sur 131775,Awa Elementary School Agusan del Sur 131790,Puting Buhangin ES Agusan del Sur 212019,8.621387248,125.905089,8.634164311,125.9075,8.632841,125.919543,1.454917178,2.050043599,3.504960777,CS
CARAGA,Agusan del Sur,3.946332439,5,131934,212016,212057,Sta. Josefa Central Elementary School with SPED Program Agusan del Sur 131934,Kaangayan PS Agusan del Sur 212016,Datu Madagnas Elementary School Agusan del Sur 212057,7.989765931,126.0263864,7.971821,126.017978,7.978281,126.015918,2.214447857,1.731884582,3.946332439,CS
CARAGA,Agusan del Sur,4.102415253,7,131991,131976,131988,Talacogon Central Elem. School SPED Center Agusan del Sur 131991,Culi-Ram Elementary School Agusan del Sur 131976,New Davao ES Agusan del Sur 131988,8.448700195,125.7973886,8.472598475,125.7919887,8.460699315,125.7993886,2.741124699,1.361290554,4.102415253,CS
CARAGA,Agusan del Sur,5.043410412,8,131672,131685,212001,Dakutan Central Elementary School Agusan del Sur 131672,Jose Calo Agudo ES Agusan del Sur 131685,Aguinaldo Elementary School Agusan del Sur 212001,8.665273897,125.6747227,8.6703846,125.6544898,8.654836,125.697044,2.310896194,2.732514219,5.043410413,CS
