ID,School_ID,School_name,Latitude,Longitude,Mapped
141565,100160,Adams CES,18.462302,120.901845,1
141566,100163,Bucarot PS,18.462088,120.903605,1
141567,150007,MALAGGAO PS,18.458749,120.905469,1
141568,300001,Adams National High School,18.45859,120.9057909,1
141569,100005,Macupit ES,18.29399444,120.6410194,1
141570,300007,Cadaratan National High School,18.29330278,120.5983722,1
141571,100021,Pungto ES,18.290778,120.607285,1
141572,100016,Cadaratan ES,18.29059,120.599082,1
141573,100023,Tubburan ES,18.28996389,120.6277639,1
141574,100017,Calioet ES,18.286113,120.585398,1
141575,100020,Parang E/S,18.27909444,120.6131083,1
141576,100015,Cabulalaan ES,18.27624167,120.5874333,1
141577,100013,Bangsirit ES,18.27523889,120.6031028,1
141578,150023,Casilian Primary School - Taguipuro Annex,18.273272,120.575401,1
141579,100008,Pulangi ES,18.27008889,120.627225,1
141580,100018,Casilian ES,18.2683468,120.5724862,1
141581,100006,Nambaran ES,18.266611,120.645922,1
141582,100014,Cabaruan ES,18.265891,120.585823,1
141583,100012,Tambidao Elementary School,18.258417,120.605722,1
141584,100022,San Agustin ES,18.25608611,120.6057889,1
141585,100001,Apaleng-Libtong ES,18.253666,120.60618,1
141586,100010,SPECIAL EDUCATION CENTER,18.25187,120.611381,1
141587,100002,Bacarra CES,18.25096389,120.6089583,1
141588,100011,Santo Cristo Elementary School,18.25004167,120.6199444,1
141589,100004,Ganagan Elementary School,18.25001389,120.5871694,1
141590,100019,Paninaan Elementary School,18.249988,120.620114,1
141591,300002,Bacarra NCHS,18.24977222,120.61305,1
141592,100009,Sabas-Sagisi Memorial Elem. School,18.244167,120.593333,1
141593,100007,Pasiocan ES,18.23464722,120.6084333,1
141594,100003,Buyon ES,18.234599,120.616037,1
141595,100029,Gabut ES,17.964347,120.474283,1
141596,100032,Mabusag-Napu ES,17.938704,120.49207,1
141597,150001,Aring ES,17.93538,120.465391,1
141598,150002,Mabusag Sur ES,17.934326,120.465952,1
141599,100041,Turod ES,17.93343,120.466619,1
141600,100025,Badoc North Central School,17.930471,120.476138,1
141601,100039,Saud ES,17.929377,120.456097,1
141602,100038,Pasuc-Parang ES,17.925736,120.498321,1
141603,100026,Badoc South Central School SPED Center,17.925448,120.474966,1
141604,300023,Pagsanahan NHS,17.91783,120.441652,1
141605,100036,Pagsanahan Elementary School,17.917105,120.439914,1
141606,100034,Morong ES,17.914267,120.455271,1
141607,100037,Paltit ES,17.913799,120.485522,1
141608,100024,Ar-Arusip ES,17.91098,120.512094,1
141609,100035,Nagrebcan ES,17.908667,120.524145,1
141610,300021,Nagrebcan NHS,17.90859722,120.5240472,1
141611,100027,Camanga ES,17.907565,120.570869,1
141612,100040,Sta. Cruz ES,17.90599,120.467228,1
141613,100033,Madupayas ES,17.905916,120.547813,1
141614,100031,Lasien School,17.904961,120.531886,1
141615,100042,Virgen Milagrosa ES,17.904291,120.442252,1
141616,100030,Labut ES,17.895171,120.512365,1
141617,500000,Caraitan Integrated School,,,0
141618,100047,Bangui CES,18.5384267,120.7631564,1
141619,300003,Bangui NHS,18.5356735,120.769735,1
141620,100052,Masikil ES,18.533951,120.766407,1
141621,100053,Nagbalagan ES,18.5330694,120.7792913,1
141622,100043,Abaca ES,18.531941,120.75589,1
141623,320802,LANAO NATIONAL HIGH SCHOOL,18.530584,120.794748,1
141624,100045,Bacsil ES,18.529562,120.771858,1
141625,100051,Lanao ES,18.526055,120.795997,1
141626,100057,Taguipuro ES,18.522769,120.710679,1
141627,100056,Suyo ES,18.520547,120.705082,1
141628,100048,Baruyen Elementary School,18.5169238,120.7078501,1
141629,320801,BANBAN NHS,18.5107737,120.7256201,1
141630,100046,Banban Elementary School,18.510655,120.725456,1
141631,100049,Dadaor ES,18.506866,120.712524,1
141632,100044,Alao-ao ES,18.498073,120.718856,1
141633,100054,Paddagan ES,18.486912,120.719716,1
141634,100075,"Catalino Acosta Mem. ES, Special Education Center",18.19537222,120.5928889,1
141635,100089,Baay ES,18.11621389,120.5723694,1
141636,300005,Batac National High School,18.11075,120.5718778,1
141637,100095,Dariwdiw ES,18.093611,120.586667,1
141638,100090,Baligat ES,18.093132,120.560977,1
141639,100097,Nagbacalan ES,18.091546,120.595096,1
141640,100092,Bil-loca ES,18.08862778,120.5676917,1
141641,100098,Rayuray Elementary School,18.07277222,120.5823167,1
141642,100094,Camandingan ES,18.070324,120.619828,1
141643,100091,Baoa ES,18.06999444,120.5950111,1
141644,150010,Baoa East ES,18.06882,120.621743,1
141645,100096,Hilario Valdez Mem. Elem. School,18.06357222,120.5627889,1
141646,100085,Quiling Elementary School,18.05967,120.557294,1
141647,100088,Benigno Macadaeg Mem. ES,18.054953,120.588051,1
141648,100083,Parangopong ES,18.054583,120.587888,1
141649,320804,City of Batac NHS Poblacion,18.053448,120.556267,1
141650,100078,Mariano Marcos Memorial Elementary School,18.053173,120.564826,1
141651,100099,San Mateo ES,18.051049,120.596428,1
141652,300012,Crispina Marcos Valdez NHS,18.04587778,120.5940389,1
141653,100081,Naguirangan-Capacuan ES,18.041563,120.586874,1
141654,100076,Colo-Mabaleng Elementary School,18.039817,120.555657,1
141655,100087,Tabug ES,18.033589,120.548261,1
141656,100086,Sumader ES,18.024833,120.580337,1
141657,100093,Biningan ES,18.023541,120.643649,1
141658,100079,Magnuang ES,18.014248,120.538304,1
141659,100077,Cumcumraas-Manggaddi-Pitpitac ES,18.013746,120.602173,1
141660,100084,Payao Elementary School,18.008637,120.57441,1
141661,320803,City of Batac National high school Payao,18.008263,120.574866,1
141662,100082,P. Q. Pimentel ES,17.995392,120.523747,1
141663,100080,Maipalig-Quiom ES,17.979732,120.588486,1
141664,340748,Ferdinand E. Marcos SHS,,,0
141665,305491,City of Batac NHS Rayuray,,,0
141666,340747,Gen. Artemio Ricarte SHS,,,0
141667,100108,Saoit ES,18.534696,120.626201,1
141668,100100,Ablan Community School,18.531789,120.615402,1
141669,300006,Burgos Agro-Industrial School,18.512416,120.636824,1
141670,100105,Burgos Central Elementary School,18.51241445,120.643843,1
141671,100102,Bayog ES,18.509601,120.591278,1
141672,100104,Bobon ES,18.5059858,120.5861168,1
141673,100106,Nagsurot Elementary School,18.505337,120.676568,1
141674,100103,BLISS ELEMENTARY SCHOOL,18.501323,120.630895,1
141675,100107,Paayas ES,18.495325,120.571014,1
141676,100109,Tanap ES,18.494408,120.668138,1
141677,100101,Agaga ES,18.451498,120.646098,1
141678,100220,Carasi ES,18.16684444,120.7333472,1
141679,300009,Carasi NHS,18.139395,120.820784,1
141680,100115,Paguludan PS,18.057964,120.487562,1
141681,100116,Pangil ES,18.038591,120.482404,1
141682,100110,Bimmanga ES,18.037877,120.482521,1
141683,100112,Doña Josefa E. Marcos ES,18.02006,120.487751,1
141684,100113,Langayan ES,18.018016,120.517053,1
141685,150012,Wilbur C. Go Elementary School,17.997692,120.499936,1
141686,320805,Currimao NHS,17.992424,120.503434,1
141687,300013,Wilbur C. Go NHS,17.991568,120.503569,1
141688,100117,Pias-Gaang ES,17.991057,120.502738,1
141689,100111,Comcomloong-Anggapang PS,17.986285,120.509604,1
141690,100114,Maglaoi ES,17.975661,120.483863,1
141691,100127,Ver ES,18.15751389,120.6458139,1
141692,320808,Dingras NHS/Lt. Edgar Foz Mem. NHS (San Marcos Campus),18.134654,120.70857,1
141693,150013,Bagut ES,18.134628,120.708555,1
141694,100132,Hilaria Salvatierra Mem. ES,18.1324,120.683,1
141695,300015,Dingras NHS/Lt. Edgar Foz Mem. NHS,18.13236111,120.6830444,1
141696,320810,SUYO NATIONAL HIGH SCHOOL,18.131089,120.683186,1
141697,100138,Suyo ES,18.130686,120.683548,1
141698,100135,San Esteban ES,18.127966,120.72081,1
141699,100133,Mandaloque ES,18.124075,120.69944,1
141700,100137,San Marcos ES,18.11924444,120.6519028,1
141701,100129,Capasan ES,18.118985,120.674329,1
141702,100120,Dingras Central ES,18.11721944,120.7022694,1
141703,100126,Sulquiano ES,18.11721944,120.7022694,1
141704,100130,Dingras West CES,18.11721944,120.7022694,1
141705,100128,Bacsil ES,18.115053,120.679993,1
141706,100134,Peralta ES,18.109771,120.694409,1
141707,100136,Sagpatan ES,18.10965278,120.7184722,1
141708,100131,Espiritu ES,18.087184,120.680219,1
141709,320809,Dingras NHS/Lt. Edgar Foz Mem. NHS- (Sulquiano Campus),18.087145,120.680069,1
141710,100123,Medina Parado ES,18.077419,120.70426,1
141711,100124,Saludares-Cali ES,18.07219722,120.6862917,1
141712,320806,Dingras NHS/Lt. Edgar Foz Mem. NHS (Barong Campus),18.070521,120.717951,1
141713,100119,Barong ES,18.068578,120.720968,1
141714,100121,Elizabeth-Lanas ES,18.068146,120.72091,1
141715,150017,Elizabeth ES,18.063604,120.73091,1
141716,100118,Baresbes ES,18.059918,120.747165,1
141717,150021,Mabino ES,18.053524,120.774909,1
141718,100122,Francisco ES,18.040179,120.775738,1
141719,320807,San Marcelino National High School,18.034748,120.761645,1
141720,100125,San Marcelino ES,18.03472,120.761859,1
141721,100055,San Isidro Elementary School,18.52885,120.828084,1
141722,100050,Dumalneg ES,18.51252,120.735395,1
141723,300017,Dumalneg NHS,18.51251944,120.7353944,1
141724,100060,Barbarangay ES,18.015372,120.635931,1
141725,100064,Caribquib ES,18.002026,120.667481,1
141726,100066,Crispina ES,18.001967,120.66741,1
141727,300010,Caribquib NHS,18.00158611,120.6685639,1
141728,100073,Tabtabagan Elementary School,17.996002,120.676418,1
141729,100062,Bugasi ES,17.988309,120.692184,1
141730,100074,VALDEZ ELEMENTARY SCHOOL,17.98321445,120.712341,1
141731,100059,Banna Central Elementary School,17.981601,120.655282,1
141732,300004,Banna National High School,17.98035278,120.6581583,1
141733,100063,Caestebanan ES,17.9791,120.655,1
141734,100072,Sinamar ES,17.97585,120.706483,1
141735,300008,Caestebanan NHS,17.974081,120.706401,1
141736,100070,Nagpatayan ES,17.966985,120.638862,1
141737,100065,Catagtaguen ES,17.964673,120.660013,1
141738,300011,Catagtaguen National High School,17.96351111,120.6598333,1
141739,100058,Bangsar ES,17.953871,120.642383,1
141740,100068,Lading ES,17.949127,120.686059,1
141741,100061,Bomitog ES,17.944145,120.615635,1
141742,100069,Macayepyep ES,17.940556,120.658056,1
141743,100067,Imelda ES,17.939142,120.639227,1
141744,100071,Quiaoit Memorial ES,17.922717,120.636039,1
141745,305601,Caaoacan High School,18.25283056,120.56025,1
141746,102195,Caaoacan Elementary School,18.2525,120.56,1
